idzap          id_el                                               mxlen_e  name_e                                                                                                       desc_e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               type_d  type_e  form_e  
H_0600/04100   ZL_LIST/ZAP/Z_SL/FOR_POM                            1        Форма оказания медицинской помощи                                                                            Классификатор форм оказания медицинской помощи. Справочник V014 Приложения А                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         H       О       N
H_0600/04200   ZL_LIST/ZAP/Z_SL/NPR_MO                             6        Код МО, направившей на лечение (диагностику, консультацию, госпитализацию)                                   Код МО – юридического лица. Заполняется в соответствии со справочником F003 Приложения А. Заполнение обязательно в случаях оказания:1. плановой медицинской помощи в условиях стационара (FOR_POM=3 и USL_OK = 1); 2. в условиях дневного стационара (USL_OK =2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     H       У       T
H_0600/04300   ZL_LIST/ZAP/Z_SL/NPR_DATE                           10       Дата направления на лечение (диагностику, консультацию, госпитализацию)                                      Заполняется на основании направления на лечение. Заполнение обязательно в случаях оказания:1. плановой медицинской помощи в условиях стационара (FOR_POM=3 и USL_OK = 1); 2. в условиях дневного стационара (USL_OK =2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              H       У       D
H_0600/04400   ZL_LIST/ZAP/Z_SL/LPU                                6        Код МО                                                                                                       Код МО лечения, указывается в соответствии с реестром F003.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          H       О       T
H_0600/04500   ZL_LIST/ZAP/Z_SL/DATE_Z_1                           10       Дата начала лечения                                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 H       О       D
H_0600/04600   ZL_LIST/ZAP/Z_SL/DATE_Z_2                           10       Дата окончания лечения                                                                                       NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 H       О       D
H_0600/04700   ZL_LIST/ZAP/Z_SL/KD_Z                               3        Продолжительность госпитализации (койко-дни/пациенто-дни)                                                    Обязательно для заполнения для стационара и дневного стационара                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      H       У       N
H_0600/04800   ZL_LIST/ZAP/Z_SL/VNOV_M                             4        Вес при рождении                                                                                             Указывается при оказании медицинской помощи недоношенным и маловесным детям. Поле заполняется, если в качестве пациента указана мать.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                H       УМ      N
H_0600/04900   ZL_LIST/ZAP/Z_SL/RSLT                               3        Результат обращения                                                                                          Классификатор результатов обращения за медицинской помощью (Приложение А V009).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      H       О       N
H_0600/05000   ZL_LIST/ZAP/Z_SL/ISHOD                              3        Исход заболевания                                                                                            Классификатор исходов заболевания (Приложение А, V012).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              H       О       N
H_0600/05100   ZL_LIST/ZAP/Z_SL/OS_SLUCH                           1        Признак "Особый случай" при регистрации обращения за медицинской помощью                                     Указываются все имевшиеся особые случаи. 1 – медицинская помощь оказана новорожденному ребенку до государственной регистрации рождения при многоплодных родах; 2 – в документе, удостоверяющем личность пациента /родителя (представителя) пациента, отсутствует отчество.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           H       НМ      N
H_0600/05200   ZL_LIST/ZAP/Z_SL/VB_P                               1        Признак внутрибольничного перевода                                                                           Указывается«1» только при оплате случая по КСГ с внутрибольничным переводом.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         H       У       N
H_0600/05300   ZL_LIST/ZAP/Z_SL/SL                                 NULL     Сведения о случае                                                                                            Может указываться несколько раз для случаев с внутрибольничным переводом при оплате по КСГ, обращениях по заболеваниям в амбулаторных условиях.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      H       ОМ      S
H_0600/05400   ZL_LIST/ZAP/Z_SL/IDSP                               2        Код способа оплаты медицинской помощи                                                                        Классификатор способов оплаты медицинской помощи V010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                H       О       N
H_0600/05500   ZL_LIST/ZAP/Z_SL/SUMV                               15.2     Сумма, выставленная к оплате                                                                                 Равна сумме значений SUM_M вложенных элементов SL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    H       О       N
H_0600/05600   ZL_LIST/ZAP/Z_SL/OPLATA                             1        Тип оплаты                                                                                                   Оплата случая оказания медпомощи:0 – не принято решение об оплате1 – полная;2 – полный отказ;3 – частичный отказ.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    H       У       N
H_0600/05700   ZL_LIST/ZAP/Z_SL/SUMP                               15.2     Сумма, принятая к оплате СМО (ТФОМС)                                                                         Заполняется СМО (ТФОМС)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              H       У       N
H_0600/05800   ZL_LIST/ZAP/Z_SL/SANK                               NULL     Сведения о санкциях                                                                                          Описывает санкции, примененные в рамках данного законченного случая.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 H       УМ      S
H_0600/05900   ZL_LIST/ZAP/Z_SL/SANK_IT                            15.2     Сумма санкций по законченному случаю                                                                         Итоговые санкции определяются на основании санкций, описанных в элементе SANK.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       H       У       N
H_0700/06000   ZL_LIST/ZAP/Z_SL/SL/SL_ID                           36       Идентификатор случая                                                                                         Уникально идентифицирует элемент SL в пределах законченного случая.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  H       О       T
H_0700/06100   ZL_LIST/ZAP/Z_SL/SL/LPU_1                           8        Подразделение МО                                                                                             Подразделение МО лечения из регионального справочника.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               H       У       T
H_0700/06200   ZL_LIST/ZAP/Z_SL/SL/PODR                            12       Код отделения                                                                                                Отделение МО лечения из регионального справочника.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   H       У       N
H_0700/06300   ZL_LIST/ZAP/Z_SL/SL/PROFIL                          3        Профиль медицинской помощи                                                                                   Классификатор V002 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     H       О       N
H_0700/06400   ZL_LIST/ZAP/Z_SL/SL/PROFIL_K                        3        Профиль койки                                                                                                Классификатор V020 Приложения А. Обязательно к заполнению3 для дневного и круглосуточного стационара (USL_OK = 1 или USL_OK = 2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     H       У       N
H_0700/06500   ZL_LIST/ZAP/Z_SL/SL/DET                             1        Признак детского профиля                                                                                     0-нет, 1-да.Заполняется в зависимости от профиля оказанной медицинской помощи.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       H       О       N
H_0700/06600   ZL_LIST/ZAP/Z_SL/SL/P_CEL                           3        Цель посещения                                                                                               Классификатор целей посещения V025 Приложения А. Обязательно к заполнению только для амбулаторной помощи (USL_OK=3)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  H       У       T
H_0700/06700   ZL_LIST/ZAP/Z_SL/SL/NHISTORY                        50       Номер истории болезни/ талона амбулаторного пациента/ карты вызова скорой медицинской помощи                 NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 H       О       T
H_0700/06800   ZL_LIST/ZAP/Z_SL/SL/P_PER                           1        Признак поступления/ перевода                                                                                Обязательно к заполнению следующими значениями для дневного и круглосуточного стационара (USL_OK=1 или USL_OK=2):1 – Самостоятельно2 – СМП3 – Перевод из другой МО4 – Перевод внутри МО с другого профиля                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            H       У       N
H_0700/06900   ZL_LIST/ZAP/Z_SL/SL/DATE_1                          10       Дата начала лечения                                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 H       О       D
H_0700/07000   ZL_LIST/ZAP/Z_SL/SL/DATE_2                          10       Дата окончания лечения                                                                                       NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 H       О       D
H_0700/07100   ZL_LIST/ZAP/Z_SL/SL/KD                              3        Продолжительность госпитализации (койко-дни/пациенто-дни)                                                    Обязательно к заполнению для круглосуточного и дневного стационара (USL_OK=1 или USL_OK=2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           H       У       N
H_0700/07200   ZL_LIST/ZAP/Z_SL/SL/DS0                             10       Диагноз первичный                                                                                            Код из справочника. МКБ-10 до уровня подрубрики, если она предусмотрена МКБ-10 (неуказание подрубрики допускается для случаев оказания скорой медицинской помощи (USL_OK=4)). Указывается при наличии                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                H       Н       T
H_0700/07301   ZL_LIST/ZAP/Z_SL/SL/DS1                             10       Диагноз основной                                                                                             Код из справочника МКБ-10 до уровня подрубрики, если она предусмотрена МКБ-10 (неуказание подрубрики допускается для случаев оказания скорой медицинской помощи (USL_OK=4)).Не допускаются следующие значения:1. первый символ кода основного диагноза «С»;2. код основного диагноза входит в диапазон D00-D09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       H       О       T
H_0700/07400   ZL_LIST/ZAP/Z_SL/SL/DS2                             10       Диагноз сопутствующего заболевания                                                                           Код из справочника. МКБ-10 до уровня подрубрики, если она предусмотрена МКБ-10 (неуказание подрубрики допускается для случаев оказания скорой медицинской помощи(USL_OK=4)). Указывается в случае установления в соответствии с медицинской документацией.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           H       УМ      T
H_0700/07500   ZL_LIST/ZAP/Z_SL/SL/DS3                             10       Диагноз осложнения заболевания                                                                               Код из справочника. МКБ-10 до уровня подрубрики, если она предусмотрена МКБ-10 (неуказание подрубрики допускается для случаев оказания скорой медицинской помощи(USL_OK=4)). Указывается в случае установления в соответствии с медицинской документацией.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           H       УМ      T
H_0700/07600   ZL_LIST/ZAP/Z_SL/SL/C_ZAB                           1        Характер основного заболевания                                                                               Классификатор характера заболевания V027 Приложения А. Обязательно к заполнению при оказании амбулаторной помощи, если основной диагноз (DS1) не входит в рубрику Z                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  H       У       N
H_0700/07700   ZL_LIST/ZAP/Z_SL/SL/DN                              1        Диспансерное наблюдение                                                                                      Указываются сведения о диспансерном наблюдении по поводу основного заболевания (состояния):1 - состоит,2 - взят, 4 - снят по причине выздоровления,6- снят по другим причинам. Обязательно для заполнения, если P_CEL=1.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            H       У       N
H_0700/07801   ZL_LIST/ZAP/Z_SL/SL/CODE_MES1                       20       Код стандарта медицинской помощи                                                                             Указывается при наличии утверждённого стандарта.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     H       УМ      T
H_0700/07901   ZL_LIST/ZAP/Z_SL/SL/CODE_MES2                       20       Код стандарта медицинской помощи сопутствующего заболевания                                                  Указывается при наличии утверждённого стандарта.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     H       У       T
H_0700/08000   ZL_LIST/ZAP/Z_SL/SL/KSG_KPG                         NULL     Сведения о КСГ/КПГ                                                                                           Заполняется при оплате случая лечения по КСГ или КПГ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 H       У       S
